      Step     Time          Energy          fmax
BFGS:    0 18:56:38    -7481.345805        0.047296
BFGS:    1 18:57:04    -7481.345920        0.046529
BFGS:    2 18:57:29    -7481.340812        0.901353
BFGS:    3 18:57:53    -7481.379395        0.880660
BFGS:    4 18:58:18    -7481.414824        1.670620
BFGS:    5 18:58:40    -7480.132324        4.561883
BFGS:    6 18:59:05    -7481.445423        2.090117
BFGS:    7 18:59:29    -7481.482103        2.016307
BFGS:    8 18:59:52    -7481.476165        1.310673
BFGS:    9 19:00:16    -7481.542224        1.322087
BFGS:   10 19:00:37    -7481.555055        1.053830
BFGS:   11 19:01:00    -7481.566735        0.455202
BFGS:   12 19:01:23    -7481.567425        0.445346
BFGS:   13 19:01:47    -7481.569397        0.377347
BFGS:   14 19:02:10    -7481.570304        0.385987
BFGS:   15 19:02:34    -7481.570867        0.407972
BFGS:   16 19:02:56    -7481.571338        0.429084
BFGS:   17 19:03:20    -7481.572309        0.452330
BFGS:   18 19:03:43    -7481.573691        0.455823
BFGS:   19 19:04:06    -7481.575093        0.422577
BFGS:   20 19:04:30    -7481.575803        0.382014
BFGS:   21 19:04:54    -7481.576024        0.363486
BFGS:   22 19:05:18    -7481.576135        0.360020
BFGS:   23 19:05:43    -7481.576264        0.362982
BFGS:   24 19:06:07    -7481.576427        0.370909
BFGS:   25 19:06:32    -7481.576670        0.381928
BFGS:   26 19:06:57    -7481.577004        0.390649
BFGS:   27 19:07:21    -7481.577372        0.388748
BFGS:   28 19:07:46    -7481.577656        0.374073
BFGS:   29 19:08:12    -7481.577860        0.356903
BFGS:   30 19:08:35    -7481.578237        0.330369
BFGS:   31 19:08:58    -7481.561299        0.594103
BFGS:   32 19:09:21    -7481.578923        0.324827
BFGS:   33 19:09:44    -7481.579997        0.313694
