      Step     Time          Energy          fmax
BFGS:    0 17:33:53    -1317.554298        5.188061
BFGS:    1 17:34:01    -1318.282544        3.535510
BFGS:    2 17:34:09    -1318.530886        2.641219
BFGS:    3 17:34:17    -1318.738565        2.648720
BFGS:    4 17:34:25    -1319.039338        0.579936
BFGS:    5 17:34:32    -1319.051167        0.281550
BFGS:    6 17:34:40    -1319.055130        0.292704
BFGS:    7 17:34:48    -1319.062342        0.304854
BFGS:    8 17:34:56    -1319.066103        0.212502
BFGS:    9 17:35:03    -1319.068691        0.083288
BFGS:   10 17:35:12    -1319.069215        0.026208
BFGS:   11 17:35:20    -1319.069279        0.013531
BFGS:   12 17:35:28    -1319.069282        0.003280
